iteration,alpha,f,grad_norm,stopping_reason
0,1e-05,17996968.974065248,11230086.533097176,gradient_tolerance
1,1e-05,5465431.500918705,61068.40202237802,gradient_tolerance
2,1e-05,5428138.00850512,61068.00965960939,gradient_tolerance
3,1e-05,5390844.904940643,61065.13375201464,gradient_tolerance
4,1e-05,5353555.117632421,61065.13069875795,gradient_tolerance
5,1e-05,5316265.541034456,61065.127645501416,gradient_tolerance
6,1e-05,5279436.528360583,59787.72729845582,gradient_tolerance
7,1e-05,5243690.805899082,59787.72430906945,gradient_tolerance
8,1e-05,5208452.063959581,58385.578044842696,gradient_tolerance
9,1e-05,5174362.965933234,58385.575125563795,gradient_tolerance
10,1e-05,5140274.151013112,58385.57220628504,gradient_tolerance
11,1e-05,5106787.193501825,55789.88241274946,gradient_tolerance
12,1e-05,5075662.084483668,55789.87962325534,gradient_tolerance
13,1e-05,5044536.978578023,55789.87683376136,gradient_tolerance
14,1e-05,5013762.443351906,55180.12324635986,gradient_tolerance
15,1e-05,4983313.984098283,55180.1204873537,gradient_tolerance
16,1e-05,4952865.529588016,55178.98333150817,gradient_tolerance
17,1e-05,4922417.93511778,55178.980572559,gradient_tolerance
18,1e-05,4891970.686710589,55178.97781360998,gradient_tolerance
19,1e-05,4861523.49154622,55178.97505466108,gradient_tolerance
20,1e-05,4831076.2994265715,55178.97229571233,gradient_tolerance
21,1e-05,4800629.11035164,55178.96953676372,gradient_tolerance
22,1e-05,4770181.924321429,55178.966777815236,gradient_tolerance
23,1e-05,4739734.741335936,55178.9640188669,gradient_tolerance
24,1e-05,4709287.607841459,55176.999924450975,gradient_tolerance
25,1e-05,4678842.3537325235,55176.99716560097,gradient_tolerance
26,1e-05,4648397.344331522,55176.99440675113,gradient_tolerance
27,1e-05,4617952.337975021,55176.9916479014,gradient_tolerance
28,1e-05,4587507.33466302,55176.98888905182,gradient_tolerance
29,1e-05,4557062.334395519,55176.98613020237,gradient_tolerance
30,1e-05,4526617.337172519,55176.98337135307,gradient_tolerance
31,1e-05,4496172.365625373,55175.508686056855,gradient_tolerance
32,1e-05,4465728.688917796,55175.50592728142,gradient_tolerance
33,1e-05,4435285.341905297,55175.15165642526,gradient_tolerance
34,1e-05,4404842.230010326,55175.148897667685,gradient_tolerance
35,1e-05,4374399.558127752,55173.35260531662,gradient_tolerance
36,1e-05,4343958.937202958,55169.769579317384,gradient_tolerance
37,1e-05,4313521.87371236,55169.76682082891,gradient_tolerance
38,1e-05,4283084.841685201,55169.76406234057,gradient_tolerance
39,1e-05,4252647.813779183,55169.76130385236,gradient_tolerance
40,1e-05,4222210.788934566,55168.557365161476,gradient_tolerance
41,1e-05,4192548.446355076,53821.00290091375,gradient_tolerance
42,1e-05,4163581.1562361824,53821.000209863596,gradient_tolerance
43,1e-05,4134851.8883891557,52341.451255066604,gradient_tolerance
44,1e-05,4107455.6138791977,52341.448637994035,gradient_tolerance
45,1e-05,4080351.940483822,51463.472725836145,gradient_tolerance
46,1e-05,4053867.0508959154,51463.47015266251,gradient_tolerance
47,1e-05,4027382.1639564973,51463.467579489006,gradient_tolerance
48,1e-05,4000897.279665568,51463.46500631563,gradient_tolerance
49,1e-05,3974412.398023128,51463.46243314238,gradient_tolerance
50,1e-05,3947927.5190291754,51463.459859969254,gradient_tolerance
51,1e-05,3921442.6426837104,51463.45728679626,gradient_tolerance
52,1e-05,3894957.768986733,51463.454713623396,gradient_tolerance
53,1e-05,3868787.7264045775,49865.333235966136,gradient_tolerance
54,1e-05,3843922.2124388753,49865.33074269948,gradient_tolerance
55,1e-05,3819056.709057977,49864.51335664932,gradient_tolerance
56,1e-05,3794191.741352077,49864.51086342364,gradient_tolerance
57,1e-05,3769326.9400876663,49864.50837019809,gradient_tolerance
58,1e-05,3744462.2467806004,49864.50587697268,gradient_tolerance
59,1e-05,3719597.56490501,49863.66056997045,gradient_tolerance
60,1e-05,3694733.4372935304,49863.658076787426,gradient_tolerance
61,1e-05,3669869.557573365,49862.78725310983,gradient_tolerance
62,1e-05,3645006.4562846115,49861.65669088746,gradient_tolerance
63,1e-05,3620144.2440493433,49861.654197804615,gradient_tolerance
64,1e-05,3595282.2227054676,49861.6517047219,gradient_tolerance
65,1e-05,3570420.2947030496,49860.68796673722,gradient_tolerance
66,1e-05,3546044.7881811997,48448.341131169196,gradient_tolerance
67,1e-05,3522572.2671281495,48448.33870875213,gradient_tolerance
68,1e-05,3499099.845241451,48447.36467274315,gradient_tolerance
69,1e-05,3475628.0395034067,48446.80738877931,gradient_tolerance
70,1e-05,3452156.6737820604,48446.80496643894,gradient_tolerance
71,1e-05,3428685.4925447917,48446.31031782599,gradient_tolerance
72,1e-05,3405458.143318267,47659.07679812136,gradient_tolerance
73,1e-05,3382744.144389144,47659.074415167524,gradient_tolerance
74,1e-05,3360030.1844977746,47659.0720322138,gradient_tolerance
75,1e-05,3337316.2543553086,47659.06964926019,gradient_tolerance
